投资金额及投资人,投资金额：1200万美元投资人：__及其关联基金
董事会席位,公司章程中应规定必须成立董事会，由至多【】名董事组成。投资方有权在__董事会中委派【1】名董事。在本次投资完成后，公司应严格按照《公司法》以及适用之国家相关法律法规规定，建立完善董事会议事规则，确保董事会在公司运营决策方面发挥相应作用。以下重大事项应当由包括投资方所推举的董事在内的董事会批准公司或任何子公司（如有）在正常经营过程以外的（业务或资产）出售、合并、“控制权变更”交易、剥离、重组、清算或停业的相关决策；修改公司的章程或其他章程性文件；增加或减少公司董事会成员的数量以及变更董事会权限出售、转让、许可、抵押公司拥有的任何商标、技术、专利或其他知识产权授权设立、发行或购买公司的任何证券或者可转债；获得任何法人实体的任何股本或其他证券或设立新的业务或新业务品种；增减公司的注册资本；批准、调整或修改涉及公司与其董事或股东关联交易的条款，包括但不限于直接或间接向公司的任何董事或股东提供贷款、提供担保、或为后者的债务承担补偿或保证责任；公司股改、发行证券或其他证券及上市方案。公司章程及董事会决议规定的其他需要全体股东一致同意的事项。
股权激励,创始人股东应于【】年【】月【】日前，为小懂科技管理层和核心业务骨干团队准备不低于【10】%的股比作为股权激励，具体方案和操作细节由创始人安排。
估值调整条款,本次增资扩股完成后，各方股东、创始人股东和公司共同为公司设定了2019年度实现营业收入【4000】万元人民币的经营目标。上述设定目标中，当公司在2019年的经营指标未达到设定目标的80%，则当年度触发对赌条款。当触发对赌条款时，投资方可选择要求创始人股东以向投资方无偿转股的形式进行补偿，具体补偿股权的计算公式如下：1）当期应补偿股权比例=[(当期承诺营业收入－当期实现营业收入)÷当期承诺营业收入]×本轮投资方认购的股权比例。但创始人股东合计向投资方无偿转股的股权比例不超过本次增资扩股完成后公司总股权的5%。
回购条款,若公司本轮投资交割完成后【6】年内未实现合格的IPO，或，由于实际控制人、创始人股东和标的公司的重大违法违规事件致使标的公司丧失正常生产经营资质并使投资方权益遭受重大损失，或，交割后【5】年内实际控制人离职且投资方仍持有公司股权，投资方有权要求公司以投资成本加不低于年单利8%的价格回购投资方持有的全部或部分公司股权。公司不能回购投资方持有的全部公司股权的，对于公司不能回购的部分，创始人股东及实际控制人应当承担回购责任，但创始人股东及实际控制人承担回购责任以该创始人股东/实际控制人届时所持有的公司股权权益的公允变现价格为上限。
知情权与审查权,投资方享有从公司获取如下信息的权利：（1）在每一会计年度结束后的90天内经审计的年度合并财务报表，须由经投资方认可的适格的会计师事务所审计；（2）在每一会计季度结束后45天内的未经审计的季度合并财务报表；（3）在每月结束后15天内月度经营报表；（4）在每一会计年度结束前30天内完成的年度财务预算；（5）所有送达给公司股东的文件或其他信息的复印件。投资方还享有对公司和其任何分支机构的设备、财务报告及记录的审查权，且有权与公司董事、高管、员工、会计师、法律顾问和投行人士讨论公司及其分支机构的业务、经营、状况等问题。
避免竞争条款,__的全体股东保证在持有股权期间，或在与公司股权存在直接或间接利益冲突的情况下，或在上述期间后的24个月内，不经营从事任何可与目标公司构成直接竞争或可能竞争的业务。
最优条款,如公司任一现有股东的权利优于本轮投资者享有的权利的，则投资方将自动享有该等权利。
合格的,本意向书中“合格的IPO”是指在证券交易市场上公开发行公司股票或其他证券（或者由公司为了上市的目的而合并、重组或其他安排导致与其有关的股票或其他证券）。
排他性条款,根据最终协议和参照本意向书其他文件所规定的条款，公司创始人和实际控制人股东应本着善意与投资方进行一切必要的谈判和商讨。创始人和实际控制人股东承诺自首页所述日期后的【20】个工作日内，就投资方拟投资的金额，不会与任何第三方机构讨论、谈判、考虑或者接受他们就此事或与此相同或类似事项所提供的任何提议或意向。若__本轮融资金额超过投资方拟投金额的，则超出部分不受此条限制。
尽职调查,在签署本投资意向书后，__将按照投资方或其指定关联方及其代表的合理要求提供全部信息和接触权。
费用,如最终完成本项投资，公司应承担投资方为达成本次投资所发生的相关费用，主要包括对公司所进行的法律、财务和商业尽职调查等，最多不超过【15】万人民币。如果未完成本项投资，投资方自身将负担此过程中发生的全部费用，但不负责公司或创始人为此发生的费用。
